Page,Sequence,DefaultImage,RorV,Label
urn:cite:bsb:cg427.37v,81,urn:cite:bsb:muncg427img.MunCG427_img81,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 37,verso"
urn:cite:bsb:cg427.38r,82,urn:cite:bsb:muncg427img.MunCG427_img82,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 38,recto"
urn:cite:bsb:cg427.38v,83,urn:cite:bsb:muncg427img.MunCG427_img83,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 38,verso"
urn:cite:bsb:cg427.39r,84,urn:cite:bsb:muncg427img.MunCG427_img84,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 39,recto"
urn:cite:bsb:cg427.39v,85,urn:cite:bsb:muncg427img.MunCG427_img85,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 39,verso"
urn:cite:bsb:cg427.40r,86,urn:cite:bsb:muncg427img.MunCG427_img86,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 40,recto"
urn:cite:bsb:cg427.40v,87,urn:cite:bsb:muncg427img.MunCG427_img87,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 40,verso"
urn:cite:bsb:cg427.41r,88,urn:cite:bsb:muncg427img.MunCG427_img88,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 41,recto"
urn:cite:bsb:cg427.41v,89,urn:cite:bsb:muncg427img.MunCG427_img89,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 41,verso"
urn:cite:bsb:cg427.42r,90,urn:cite:bsb:muncg427img.MunCG427_img90,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 42,recto"
urn:cite:bsb:cg427.42v,91,urn:cite:bsb:muncg427img.MunCG427_img91,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 42,verso"
urn:cite:bsb:cg427.43r,92,urn:cite:bsb:muncg427img.MunCG427_img92,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 43,recto"
